2015 UMass-Amherst Graduating Senior Survey,,,,,,,,,
Campus Summary,,,,,,,,,
Graduates (Calendar Year 2015): 5421,,,,,,,,,
Survey Respondents: 3882,,,,,,,,,
Response Rate: 71.6%,,,,,,,,,
,,,,,,,,,
SATISFACTION WITH YOUR MAJOR AND UMASS-AMHERST,,,,,,,,,
,,,,,,,,,
,,,,Very,Somewhat,Somewhat,,Very,
,,,,Satisfied,Satisfied,Dissatisfied,,Dissatisfied,Item
"Within your major, how satisfied are you with:",,,(N),-4,-3,,-2,-1,Mean
The accessibility of faculty.,,,3784,60.9%,31.1%,6.1%,,1.9%,3.5
The quality of teaching.,,,3780,57.6%,34.8%,6.0%,,1.6%,3.5
Academic advising.,,,3777,45.6%,31.1%,16.0%,,7.3%,3.2
Access to classes.,,,3784,55.8%,30.1%,10.6%,,3.5%,3.4
Faculty concern for your academic progress.,,,3774,49.0%,35.7%,11.9%,,3.3%,3.3
Writing preparation.,,,3773,49.5%,38.9%,9.2%,,2.4%,3.4
Connections to the rest of your academics.,,,3767,48.2%,38.9%,10.5%,,2.4%,3.3
Career preparation and guidance.,,,3775,43.0%,33.4%,17.0%,,6.7%,3.1
Your overall experience.,,,3773,60.6%,32.5%,5.3%,,1.6%,3.5
,,,,Very,Somewhat,Somewhat,,Very,
,,,,Satisfied,Satisfied,Dissatisfied,,Dissatisfied,Item
Overall experience,,,(N),-4,-3,,-2,-1,Mean
How satisfied are you with your UMass Amherst,,,,,,,,,
experience overall?,,,3848,70.3%,26.0%,3.0%,,0.6%,3.7
EDUCATIONAL EXPERIENCES,,,,,,,,,
"While at UMass, did you participate in any of the following:",,,,(N),Yes,No,,,
"Practicum, internship, field or coop experience, clinical assignment.",,,,3816,63.6%,36.4%,,,
Community service or volunteer work.,,,,3802,61.2%,38.8%,,,
Research project with faculty outside of course requirements.,,,,3772,29.3%,70.7%,,,
Study abroad.,,,,3776,22.4%,77.6%,,,
Culminating senior experience.,,,,3783,44.8%,55.2%,,,
POST UMASS PLANS,,,,,,,,,
,,,,,Graduate or,,,,
,,"Employment,",,"Employment,",professional,Military,,Volunteer,
Principal activity,,(N)   full-time paid,,part-time paid,school,,service,activity,Other
What is most likely to be your principal,,,,,,,,,
activity upon graduation? (select one),3829,,64.5%,9.3%,20.9%,,0.4%,1.3%,3.6%
,,,Less than,"$30,000 to","$40,000 to","$50,000 to",,"$60,000 or",
Annual salary,(N),,"$30,000","$39,000","$49,000","$59,000",,more,
"If you have accepted a full-time job,",,,,,,,,,
what is your approximate annual salary?,864,,8.4%,14.6%,21.1%,29.6%,,26.3%,
,,,,"CT, RI, VT,",Other U.S.,,Outside the,,
Location,(N),,Massachusetts,"ME, or NH",location,,U.S.,,
"If you have accepted a full-time job,",,,,,,,,,
where is it located?,1070,,65.5%,10.2%,,22.4%,1.9%,,
,,,Other,Ph.D.,,"M.D., D.O.,  L.L.B. or J.D.",,,
Graduate degree,(N),,MBA   Master's   or Ed.D.,,D.V.M.,D.D.S.,,(Law),Other
If you are attending graduate school this,,,,,,,,,
"year, what degree will you be seeking?",722,13.2%,51.2%,11.8%,2.2%,9.1%,,5.8%,6.6%
,,,,,,,,,
"Survey methods and results at: www.umass.edu/oapa/oapa/reports/senior_survey. Office of Academic Planning and Assessment, 11/09/2015",,,,,,,,,
,,,,,,,,,
2015 UMass-Amherst Graduating Senior Survey,,,,,,,,,
College of Humanities and Fine Arts,,,,,,,,,
Graduates (Calendar Year 2015): 495,,,,,,,,,
Survey Respondents: 347,,,,,,,,,
Response Rate: 70.1%,,,,,,,,,
,,,,,,,,,
SATISFACTION WITH YOUR MAJOR AND UMASS-AMHERST,,,,,,,,,
,,,,,,,,,
,,,,Very,Somewhat,Somewhat,Very,,
,,,,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Item,
"Within your major, how satisfied are you with:",,,(N),-4,-3,-2,-1,Mean,
The accessibility of faculty.,,,340,62.1%,30.0%,7.1%,0.9%,3.5,
The quality of teaching.,,,339,61.9%,30.4%,6.5%,1.2%,3.5,
Academic advising.,,,339,39.8%,27.1%,22.7%,10.3%,3.0,
Access to classes.,,,338,59.8%,29.0%,8.9%,2.4%,3.5,
Faculty concern for your academic progress.,,,338,53.8%,30.2%,11.2%,4.7%,3.3,
Writing preparation.,,,336,55.4%,33.3%,9.5%,1.8%,3.4,
Connections to the rest of your academics.,,,332,41.6%,41.6%,13.3%,3.6%,3.2,
Career preparation and guidance.,,,336,28.9%,36.3%,22.6%,12.2%,2.8,
Your overall experience.,,,337,56.1%,35.9%,7.1%,0.9%,3.5,
,,,,Very,Somewhat,Somewhat,Very,,
,,,,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Item,
Overall experience,,,(N),-4,-3,-2,-1,Mean,
How satisfied are you with your UMass Amherst,,,,,,,,,
experience overall?,,,346,59.8%,33.5%,6.4%,0.3%,3.5,
EDUCATIONAL EXPERIENCES,,,,,,,,,
"While at UMass, did you participate in any of the following:",,,,(N),Yes,No,,,
"Practicum, internship, field or coop experience, clinical assignment.",,,,338,45.9%,54.1%,,,
Community service or volunteer work.,,,,336,50.3%,49.7%,,,
Research project with faculty outside of course requirements.,,,,334,26.0%,74.0%,,,
Study abroad.,,,,338,37.0%,63.0%,,,
Culminating senior experience.,,,,336,36.6%,63.4%,,,
POST UMASS PLANS,,,,,,,,,
,,,,,Graduate or,,,,
,,"Employment,",,"Employment,",professional,Military,Volunteer,,
Principal activity,,(N)   full-time paid,,part-time paid,school,service,activity,Other,
What is most likely to be your principal,,,,,,,,,
activity upon graduation? (select one),340,,45.6%,20.0%,25.9%,0.6%,2.4%,5.6%,
,,Less than,,"$30,000 to","$40,000 to","$50,000 to","$60,000 or",,
Annual salary,(N),,"$30,000","$39,000","$49,000","$59,000",more,,
"If you have accepted a full-time job,",,,,,,,,,
what is your approximate annual salary?,30,,36.7%,23.3%,16.7%,20.0%,3.3%,,
,,,,"CT, RI, VT,",Other U.S.,Outside the,,,
Location,(N),,Massachusetts,"ME, or NH",location,,U.S.,,
"If you have accepted a full-time job,",,,,,,,,,
where is it located?,44,,61.4%,9.1%,25.0%,,4.5%,,
,,,Other,Ph.D.,,"M.D., D.O.,  L.L.B. or J.D.",,,
Graduate degree,(N),,MBA   Master's   or Ed.D.,,D.V.M.,D.D.S.,(Law),Other,
If you are attending graduate school this,,,,,,,,,
"year, what degree will you be seeking?",73,16.4%,60.3%,8.2%,0.0%,1.4%,11.0%,2.7%,
,,,,,,,,,
"Survey methods and results at: www.umass.edu/oapa/oapa/reports/senior_survey. Office of Academic Planning and Assessment, 11/09/2015",,,,,,,,,
,,,,,,,,,
2015 UMass-Amherst Graduating Senior Survey Departmental Results,,,,,,,,,
Architecture,,,,,,,,,
Graduates (Calendar Year 2015): 23,,,,,,,,,
Survey Respondents: 19,,,,,,,,,
Response Rate: 82.6%,,,,,,,,,
,,,,,,,,,
SATISFACTION WITH YOUR MAJOR AND UMASS-AMHERST,,,,,,,,,
,,,,,,,,,
,,,,Very,Somewhat,Somewhat,Very,,
,,,,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Item,
"Within your major, how satisfied are you with:",,,(N),-4,-3,-2,-1,Mean,
The accessibility of faculty.,,,19,42.1%,47.4%,10.5%,0.0%,3.3,
The quality of teaching.,,,19,84.2%,10.5%,5.3%,0.0%,3.8,
Academic advising.,,,19,10.5%,21.1%,47.4%,21.1%,2.2,
Access to classes.,,,19,73.7%,26.3%,0.0%,0.0%,3.7,
Faculty concern for your academic progress.,,,19,57.9%,21.1%,21.1%,0.0%,3.4,
Writing preparation.,,,19,42.1%,42.1%,15.8%,0.0%,3.3,
Connections to the rest of your academics.,,,19,31.6%,63.2%,5.3%,0.0%,3.3,
Career preparation and guidance.,,,19,15.8%,36.8%,36.8%,10.5%,2.6,
Your overall experience.,,,19,63.2%,36.8%,0.0%,0.0%,3.6,
,,,,Very,Somewhat,Somewhat,Very,,
,,,,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Item,
Overall experience,,,(N),-4,-3,-2,-1,Mean,
How satisfied are you with your UMass Amherst,,,,,,,,,
experience overall?,,,19,78.9%,21.1%,0.0%,0.0%,3.8,
EDUCATIONAL EXPERIENCES,,,,,,,,,
"While at UMass, did you participate in any of the following:",,,,(N),Yes,No,,,
"Practicum, internship, field or coop experience, clinical assignment.",,,,18,61.1%,38.9%,,,
Community service or volunteer work.,,,,17,58.8%,41.2%,,,
Research project with faculty outside of course requirements.,,,,16,37.5%,62.5%,,,
Study abroad.,,,,17,47.1%,52.9%,,,
Culminating senior experience.,,,,16,50.0%,50.0%,,,
POST UMASS PLANS,,,,,,,,,
,,,,,Graduate or,,,,
,,"Employment,",,"Employment,",professional,Military,Volunteer,,
Principal activity,,(N)   full-time paid,,part-time paid,school,service,activity,Other,
What is most likely to be your principal,,,,,,,,,
activity upon graduation? (select one),19,,36.8%,5.3%,31.6%,0.0%,0.0%,26.3%,
,,Less than,,"$30,000 to","$40,000 to","$50,000 to","$60,000 or",,
Annual salary,(N),,"$30,000","$39,000","$49,000","$59,000",more,,
"If you have accepted a full-time job,",,,,,,,,,
what is your approximate annual salary?,2,,50.0%,0.0%,0.0%,50.0%,0.0%,,
,,,,"CT, RI, VT,",Other U.S.,Outside the,,,
Location,(N),,Massachusetts,"ME, or NH",location,,U.S.,,
"If you have accepted a full-time job,",,,,,,,,,
where is it located?,4,,50.0%,25.0%,25.0%,,0.0%,,
,,,Other,Ph.D.,,"M.D., D.O.,  L.L.B. or J.D.",,,
Graduate degree,(N),,MBA   Master's   or Ed.D.,,D.V.M.,D.D.S.,(Law),Other,
If you are attending graduate school this,,,,,,,,,
"year, what degree will you be seeking?",7,28.6%,71.4%,0.0%,0.0%,0.0%,0.0%,0.0%,
,,,,,,,,,
"Survey methods and results at: www.umass.edu/oapa/oapa/reports/senior_survey. Office of Academic Planning and Assessment, 11/09/2015",,,,,,,,,
,,,,,,,,,
2015 UMass-Amherst Graduating Senior Survey Departmental Results,,,,,,,,,
Art,,,,,,,,,
Graduates (Calendar Year 2015): 34,,,,,,,,,
Survey Respondents: 17,,,,,,,,,
Response Rate: 50.0%,,,,,,,,,
,,,,,,,,,
SATISFACTION WITH YOUR MAJOR AND UMASS-AMHERST,,,,,,,,,
,,,,,,,,,
,,,,Very,Somewhat,Somewhat,,Very,
,,,,Satisfied,Satisfied,Dissatisfied,,Dissatisfied,Item
"Within your major, how satisfied are you with:",,,(N),-4,-3,,-2,-1,Mean
The accessibility of faculty.,,,17,41.2%,47.1%,11.8%,,0.0%,3.3
The quality of teaching.,,,17,58.8%,23.5%,17.6%,,0.0%,3.4
Academic advising.,,,17,47.1%,35.3%,17.6%,,0.0%,3.3
Access to classes.,,,17,58.8%,41.2%,0.0%,,0.0%,3.6
Faculty concern for your academic progress.,,,17,64.7%,17.6%,17.6%,,0.0%,3.5
Writing preparation.,,,17,23.5%,41.2%,23.5%,,11.8%,2.8
Connections to the rest of your academics.,,,15,26.7%,40.0%,26.7%,,6.7%,2.9
Career preparation and guidance.,,,16,31.3%,18.8%,31.3%,,18.8%,2.6
Your overall experience.,,,17,58.8%,35.3%,5.9%,,0.0%,3.5
,,,,Very,Somewhat,Somewhat,,Very,
